insert into "pedidos" ("num_pedido","fecha_pedido","clie","rep","fab","producto", "cant", "importe") values
(112961,'2005-12-17',2117,106,'rei','2a44l',7,31500),
(113012,'2006-01-11',2111,105,'aci','41003',35,3745),
(112989,'2006-01-03',2101,106,'fea','114'  ,6,1458),
(113051,'2006-02-10',2118,108,'qsa','k47'  ,4,1420),
(112968,'2005-10-12',2102,101,'aci','41004',34,3978),
(110036,'2006-01-30',2107,110,'aci','4100z',9,22500),
(113045,'2006-02-02',2112,108,'rei','2a44r',10,45000),
(112963,'2005-12-17',2103,105,'aci','41004',28,3276),
(113013,'2006-01-14',2118,108,'bic','41003',1,652),
(113058,'2006-02-23',2108,109,'fea','112'  ,10,1480),
(112997,'2006-01-08',2124,107,'bic','41003',1,652),
(112983,'2005-12-27',2103,105,'aci','41004',6,702),
(113024,'2006-01-20',2114,108,'qsa','xk47' ,20,7100),
(113062,'2006-02-24',2124,107,'fea','114'  ,10,2430),
(112979,'2005-10-12',2114,102,'aci','4100z',6,15000),
(113027,'2006-01-22',2103,105,'aci','41002',54,4104),
(113007,'2006-01-08',2112,108,'imm','773c' ,3,2925),
(113069,'2006-03-02',2109,107,'imm','775c' ,22,31350),
(113034,'2006-01-29',2107,110,'rei','2a45c',8,632),
(112992,'2005-11-04',2118,108,'aci','41002',10,760),
(112975,'2005-12-12',2111,103,'rei','2a44g',6,2100),
(113055,'2006-02-15',2108,101,'aci','4100x',6,150),
(113048,'2006-02-10',2120,102,'imm','779c' ,2,3750),
(112993,'2005-01-04',2106,102,'rei','2a45c',24,1896),
(113065,'2006-02-27',2106,102,'qsa','xk47' ,6,2130),
(113003,'2006-01-25',2108,109,'imm','779c' ,3,5625),
(113049,'2006-02-10',2118,108,'qsa','xk47',2,776),
(112987,'2005-12-31',2103,105,'aci','4100y',11,27500),
(113057,'2006-02-18',2111,103,'aci','4100x',24,600),
(113042,'2006-02-02',2113,101,'rei','2a44r',5,22500);
